
[10/231] 4% | 5.8s elapsed | ~128s remaining  
[20/231] 9% | 10.0s elapsed | ~106s remaining  
[30/231] 13% | 12.8s elapsed | ~86s remaining  
[40/231] 17% | 15.2s elapsed | ~72s remaining  
[50/231] 22% | 17.1s elapsed | ~62s remaining  
[60/231] 26% | 18.0s elapsed | ~51s remaining  
[70/231] 30% | 19.0s elapsed | ~44s remaining  
[80/231] 35% | 20.0s elapsed | ~38s remaining  
[90/231] 39% | 24.2s elapsed | ~38s remaining  
[100/231] 43% | 27.5s elapsed | ~36s remaining  
[110/231] 48% | 30.2s elapsed | ~33s remaining  
[120/231] 52% | 31.9s elapsed | ~30s remaining  
[130/231] 56% | 33.3s elapsed | ~26s remaining  
[140/231] 61% | 34.7s elapsed | ~23s remaining  
[150/231] 65% | 35.8s elapsed | ~19s remaining  
[160/231] 69% | 37.6s elapsed | ~17s remaining  
[170/231] 74% | 40.8s elapsed | ~15s remaining  
[180/231] 78% | 44.4s elapsed | ~13s remaining  
[190/231] 82% | 47.2s elapsed | ~10s remaining  
[200/231] 87% | 49.5s elapsed | ~8s remaining  
[210/231] 91% | 51.3s elapsed | ~5s remaining  
[220/231] 95% | 52.3s elapsed | ~3s remaining  
[230/231] 100% | 53.2s elapsed | ~0s remaining  
[231/231] 100% | 53.3s elapsed | ~0s remaining  
Done. 231 runs completed.
